advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDH liste à la Chambre province de Liège	CDH - Centre Démocrate Humaniste	268478507423505	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	182	91	0	0
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	175	87	1	0
Quotes		1881150392198555	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	171	85	0	0
Christian Leysen	Christian Leysen	403864600161608	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	170	85	7	1
Great		267772723892978	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	164	82	0	0
The Purnomo Yusgiantoro Center		581013775394152	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	155	78	0	0
АТОН		269320383095938	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	146	73	1	0
Kairen Beachwear		561964244297847	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	142	71	0	0
Radical Pantry		531069674026158	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	126	63	0	0
Malteser in Deutschland		12318246701	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	119	59	0	0
Raseef22  رصيفــ22		359500190793796	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	111	55	0	0
European Committee of the Regions		527351247377965	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	107	53	0	0
