advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Amazinc Skincare		222074311472291	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	30	0	0	0
KDNP és Frakciója	KDNP és Frakciója	230385242742	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	29	0	0	0
Transylvania NOW		1067238850277845	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	28	0	2	0
GadgetWorlds		1379943465439410	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	28	0	2	0
Basmah		137973986840264	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	27	0	2	0
The Bellas		395502277694859	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	23	0	2	0
G7.hu		735736549957756	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	23	0	0	0
Fans Bola		1259155504221330	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	23	0	0	0
مفوضية اللاجئين		188842724507690	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	20	0	1	0
Bestforyou6		2234509846791274	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	20	0	1	0
Trending Today		311683089314196	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	20	0	1	0
Assets For Life		1536572196655036	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	19	0	2	0
European Youth		130456876990360	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	18	0	1	0
Matt Wilson		247888188644456	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	18	0	2	0
Feminist Apparel		147698828729567	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	17	0	1	0
1perc - A legfrissebb hírek		165509490231791	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	17	0	0	0
AGACAD Tools4Revit		112782242126020	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	16	0	1	0
Council of Europe - Directorate General Human Rights and Rule of Law		315160671967064	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	16	0	1	0
EUJS - European Union of Jewish Students		389574965144	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	15	0	1	0
Hippie Souls - Amzitee		350097562443914	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	15	0	1	0
TAKEN BY SURPRISE RECORDS		171760112965	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	15	0	1	0
